sr_no,name,unit_no,company,sector,age_yr,gcv_kcal_per_kg,gcv_range,fuel,capacity_mw,ef_t_per_mwh,plf_pct,shr_kcal_per_kwh,efficiency_pct,aux_pct,net_gen_gwh,co2_mt,coal_grade,coal_source,fuel_price_rs_per_gcal,fuel_price_basis,vc_fuel_rs_per_kwh,variable_cost_rs_per_kwh,grid_region,ecr_rs_per_kwh,variable_cost_final,vc_source
120.0,Raghunathpur TPP Ph-I,1.0,DVC,Centre,10.0,3651.6,"(3500, 4000)",Coal,600.0,0.98,43.6,2575.6,33.4,6.8,2293.0,2.24,G13,domestic,666.5927264760653,CIL_pithead_FY2022-23+levies+freight,1.7168762263117536,1.9168762263117536,ER,3.881,3.881,published_ECR
412.0,Ropar,3.0,PSEB,State,36.4,3867.4,"(3500, 4000)",Coal,210.0,1.22,43.6,3192.2,26.9,9.6,801.4,0.98,G12,domestic,650.6283291099965,CIL_pithead_FY2022-23+levies+freight,2.0769357521849305,2.2769357521849307,NR,3.6037,3.6037,published_ECR
329.0,Unchahar,1.0,NTPC,Centre,35.7,3796.4,"(3500, 4000)",Coal,210.0,1.1,43.7,2912.6,29.5,10.4,803.8,0.88,G12,domestic,662.7963333684544,CIL_pithead_FY2022-23+levies+freight,1.93046060056896,2.13046060056896,Unallocated,4.357,4.357,published_ECR
273.0,Wardha Warora (Sai Wardha Power),1.0,Sai Wardha Power Ltd.,Private,14.3,3710.2,"(3500, 4000)",Coal,135.0,1.06,44.0,2787.8,30.8,10.1,520.4,0.55,G12,domestic,678.1952455393242,CIL_pithead_FY2022-23+levies+freight,1.890672705514528,2.090672705514528,WR,,2.090672705514528,modelled
245.0,R_Gundem Stps,2.0,NTPC,Centre,40.2,3540.8,"(3500, 4000)",Coal,200.0,1.04,44.4,2720.8,31.6,11.2,778.6,0.81,G13,domestic,687.4519882512426,CIL_pithead_FY2022-23+levies+freight,1.870419369633981,2.070419369633981,Unallocated,4.085,4.085,published_ECR
387.0,Ukai_Coal,5.0,GSECL,State,39.5,3549.0,"(3500, 4000)",Coal,210.0,1.18,44.4,3013.2,28.5,10.8,816.0,0.97,G13,domestic,685.8636235559312,CIL_pithead_FY2022-23+levies+freight,2.066644270498732,2.266644270498732,WR,3.915,3.915,published_ECR
415.0,Ropar,4.0,PSEB,State,35.5,3867.4,"(3500, 4000)",Coal,210.0,1.22,44.6,3192.3,26.9,9.6,820.7,1.0,G12,domestic,650.6283291099965,CIL_pithead_FY2022-23+levies+freight,2.0770008150178416,2.277000815017842,NR,3.6037,3.6037,published_ECR
216.0,Uchpinda TPP,2.0,Rkm Powergen Private Ltd.,Private,8.5,3044.0,"(3000, 3500)",Coal,360.0,1.02,44.7,2691.4,31.9,10.1,1408.4,1.44,G15,domestic,710.9067017082785,CIL_pithead_FY2022-23+levies+freight,1.9133342969776608,2.1133342969776607,Unallocated,2.22,2.22,published_ECR
343.0,Parli,8.0,MAHAGENCO,State,8.4,3228.0,"(3000, 3500)",Coal,250.0,1.11,44.7,2878.5,29.9,13.6,979.0,1.09,G14,domestic,728.6307311028501,CIL_pithead_FY2022-23+levies+freight,2.097363559479554,2.297363559479554,WR,4.533,4.533,published_ECR
297.0,Raichur,5.0,KPCL,State,25.5,3122.8,"(3000, 3500)",Coal,210.0,1.08,44.9,2803.5,30.7,11.3,825.7,0.89,G14,domestic,753.1766363519918,CIL_pithead_FY2022-23+levies+freight,2.111530700012809,2.31153070001281,SR,,2.31153070001281,modelled
