name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Pathadi Tps Ph -I,2.0,Private,domestic,G14,False,1452.02,2190.0,3.0749314112380723,,3.0749314112380723,reconstructed_landed
Kalisindh,1.0,State,domestic,G12,False,1616.2400000000002,2190.0,2.8630559114436536,,2.8630559114436536,reconstructed_landed
Vijaywada (Dr. N.TATA Rao Tps),1.0,State,domestic,G15,False,1264.0,2190.0,3.6715304717985098,,3.6715304717985098,reconstructed_landed
Neyveli St Ii,3.0,Centre,lignite,G16,True,1233.06,,1.8293,2.6420000000000003,2.6420000000000003,real_ISGS_ECR
Sterlite TPP(Vedanta),2.0,Private,domestic,G14,False,1452.02,2190.0,3.209790806319115,,3.209790806319115,reconstructed_landed
Raigarh TPP(OP Jindal Tps),2.0,Private,domestic,G15,False,1264.0,1280.0,2.3944324249550424,,2.3944324249550424,reconstructed_landed
Paras,3.0,State,domestic,G14,False,1452.02,2190.0,3.263753788839569,,3.263753788839569,reconstructed_landed
Surat Lignite,2.0,Private,lignite,G16,True,1233.06,,1.6789999999999998,,1.6789999999999998,modelled_anchor
Mettur,3.0,State,domestic,G15,False,1264.0,2190.0,3.2284861943986822,,3.2284861943986822,reconstructed_landed
Obra-A,9.0,State,domestic,G13,False,1534.13,2190.0,3.4178636915451897,,3.4178636915451897,reconstructed_landed
Farakka Stps,6.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.6264961527660775,2.68,2.68,real_ISGS_ECR
Tamnar TPP,1.0,Private,domestic,G15,False,1264.0,2190.0,2.927464002939899,,2.927464002939899,reconstructed_landed
Sanjay Gandhi,1.0,State,domestic,G12,False,1616.2400000000002,1280.0,2.5307327789417142,,2.5307327789417142,reconstructed_landed
Suratgarh,6.0,State,domestic,G14,False,1452.02,2190.0,3.043131187387387,,3.043131187387387,reconstructed_landed
Parli,6.0,State,domestic,G14,False,1452.02,2190.0,3.270110805194805,,3.270110805194805,reconstructed_landed
Akaltara TPP /Nariyara TPP,2.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.7920667055016186,,2.7920667055016186,reconstructed_landed
Neyveli St Ii,4.0,Centre,lignite,G16,True,1233.06,,1.7444000000000002,2.6420000000000003,2.6420000000000003,real_ISGS_ECR
Surat Lignite,4.0,Private,lignite,G16,True,1233.06,,1.6475,,1.6475,modelled_anchor
Tuticorin JV,1.0,Centre,domestic,G13,False,1534.13,2190.0,2.9933174159646345,2.842,2.842,real_ISGS_ECR
Farakka Stps,2.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.8337824796076543,2.68,2.68,real_ISGS_ECR
Sanjay Gandhi,4.0,State,domestic,G12,False,1616.2400000000002,1280.0,2.454728844480258,,2.454728844480258,reconstructed_landed
Derang,2.0,Private,domestic,G14,False,1452.02,2190.0,2.8389338290380803,,2.8389338290380803,reconstructed_landed
Kolaghat,4.0,State,domestic,G14,False,1452.02,2190.0,3.446783549620638,,3.446783549620638,reconstructed_landed
Mejia,3.0,Centre,domestic,G13,False,1534.13,2190.0,3.067781108779293,3.142333333333333,3.142333333333333,real_ISGS_ECR
Wanakbori,5.0,State,domestic,G13,False,1534.13,2190.0,3.244116713782909,,3.244116713782909,reconstructed_landed
Balco TPP,1.0,Private,domestic,G13,False,1534.13,2190.0,4.508106645060854,,4.508106645060854,reconstructed_landed
